taxid	D	P	C	O	F	G	S	family0	family1	family2	family3	family4	family5	family6	family7	family8	D9
1033732	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes senegalensis	0	0	0	400	0	400	0	0	0	0
1033733	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus senegalensis	200	100	100	200	0	200	0	0	200	100
1034115	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Vilmaviridae	Reyvirus	Reyvirus rey	300	100	200	100	200	300	200	100	100	200
1034130	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Coopervirus	Coopervirus chrisnmich	0	100	0	0	0	0	0	0	0	100
1034345	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Senegalimassilia	Senegalimassilia anaerobia	0	0	0	0	0	300	300	0	0	0
1034346	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Dielma	Dielma fastidiosa	0	100	100	100	100	100	0	100	0	0
1034792	Viruses	unclassified-Viruses-phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Wawtorquevirus	Wawtorquevirus culic2	100	100	0	0	0	0	0	100	0	0
10359	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus humanbeta5	100	100	100	100	100	100	100	0	0	100
103621	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces urogenitalis	200	200	200	100	200	200	200	100	200	100
10366	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Muromegalovirus	Muromegalovirus muridbeta1	0	100	100	0	100	0	100	0	100	0
1036611	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus versicolor	300	300	300	300	300	300	300	400	400	300
1036963	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Pipapillomavirus	Pipapillomavirus 2	0	0	0	0	0	100	0	0	0	0
10372	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta7	100	0	100	100	100	100	100	100	0	100
10376	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Lymphocryptovirus	Lymphocryptovirus humangamma4	0	0	100	0	0	100	0	100	100	0
10380	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Rhadinovirus	Rhadinovirus atelinegamma2	100	100	100	100	0	100	100	100	100	0
10386	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Iltovirus	Iltovirus gallidalpha1	100	0	0	100	100	100	100	100	0	100
103892	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella ratti	100	100	200	200	200	200	200	200	200	100
10390	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Mardivirus	Mardivirus gallidalpha2	100	100	0	100	100	100	0	0	0	100
10397	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Quwivirus	Quwivirus tupaiidbeta1	100	100	100	100	100	100	100	0	100	0
10401	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Ictavirus	Ictavirus ictaluridallo1	200	200	200	300	200	300	200	300	200	300
105154	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Chlamydiamicrovirus	Chlamydiamicrovirus Chp2	100	100	100	100	200	100	100	100	100	100
1051631	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Aliceevansviridae	unclassified Aliceevansviridae genus	Streptococcus phage YMC-2011	300	300	300	200	300	200	300	300	200	200
1051673	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Autographiviridae	Elunavirus	Elunavirus L1	0	100	0	100	0	0	0	0	0	100
1051675	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Schitoviridae	Waedenswilvirus	Waedenswilvirus S6	0	0	0	100	100	100	0	0	0	0
1051676	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Chaseviridae	Loessnervirus	Loessnervirus Y2	100	100	100	100	100	100	100	100	100	100
1052121	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Straboviridae	Dhakavirus	Dhakavirus bp7	0	100	0	100	0	0	100	100	100	0
1054460	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pseudopneumoniae	100	0	0	0	0	0	0	0	0	0
1054461	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Schitoviridae	Gamaleyavirus	Gamaleyavirus G7C	0	0	0	0	0	0	0	100	100	100
10561	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Xipapillomavirus	Xipapillomavirus 1	0	0	0	0	100	0	0	0	0	0
10564	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Deltapapillomavirus	Deltapapillomavirus 2	100	0	100	100	0	100	0	0	0	0
10566	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	unclassified Papillomaviridae genus	Human papillomavirus	0	0	100	0	100	0	0	100	100	0
10567	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Iotapapillomavirus	Iotapapillomavirus 1	0	0	0	100	0	0	0	0	100	0
10568	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Pipapillomavirus	Pipapillomavirus 2	0	0	0	0	100	0	0	0	0	0
1056807	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Morococcus	Morococcus cerebrosus	400	300	300	400	400	400	300	300	300	300
1056830	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Charlievirus	Charlievirus Charlie	0	0	0	0	0	0	0	0	0	100
10570	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 12	0	0	0	100	0	0	0	0	0	0
105841	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	100	100	0	100	0	0	0	0	0	0
10589	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Nupapillomavirus	Nupapillomavirus 1	100	100	0	100	0	100	0	0	0	0
105984	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum porosum	500	500	500	500	500	500	500	500	500	500
10616	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Betapapillomavirus	Betapapillomavirus 3	0	0	0	0	0	0	0	0	100	0
10623	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Kappapapillomavirus	Kappapapillomavirus 2	0	0	100	0	0	100	0	0	0	0
106588	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor capillosus	0	0	0	100	0	100	100	100	100	0
106649	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter guillouiae	200	200	0	400	600	400	400	600	600	400
10679	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Peduoviridae	Peduovirus	Peduovirus P2	0	0	0	100	0	0	0	0	0	0
1071378	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma dairenensis	100	200	100	100	200	100	200	100	100	100
1071381	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora	Tetrapisispora phaffii	100	100	100	100	200	100	100	100	100	200
1073090	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicilliopsis	Penicilliopsis zonata	400	300	400	400	300	300	400	300	300	300
1074000	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter universalis	100	100	100	0	100	100	0	0	100	100
1074044	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	unclassified Inoviridae genus	uncultured phage WW-nAnB	100	100	100	0	100	0	0	100	100	0
1074206	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Iotapapillomavirus	Iotapapillomavirus 2	0	0	0	0	0	0	0	0	0	100
1074213	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Mouse kobuvirus M-5/USA/2010	100	0	0	0	100	0	0	100	0	0
1074428	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Mosavirus	Mosavirus A	0	0	0	0	100	0	0	0	0	0
10747	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Salasmaviridae	Cepunavirus	Cepunavirus Cp1	100	100	100	100	100	100	100	100	100	0
1075091	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sporogenes	0	300	0	0	0	0	0	0	0	0
10757	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Salasmaviridae	Salasvirus	Salasvirus PZA	100	100	100	100	100	100	100	100	100	100
10760	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Autographiviridae	Teseptimavirus	Teseptimavirus T7	0	0	0	100	0	0	0	0	0	0
1076759	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Enhodamvirus	Enhodamvirus VC8	0	0	0	0	100	0	0	0	0	0
1076934	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus lutetiensis	0	0	0	0	100	0	0	0	0	0
1077256	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera cuniculi	200	200	200	200	200	200	200	200	200	200
1078480	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus sputorum	200	400	400	0	0	0	200	400	0	400
1078483	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus sputorum	0	0	0	400	400	400	0	0	400	0
1079257	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria robusta	500	500	500	500	500	500	500	500	500	500
1079999	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Kyanoviridae	Galenevirus	Galenevirus mbcm1	0	100	100	100	0	100	0	0	0	0
1080349	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces eubayanus	100	100	200	200	100	200	100	200	200	100
1081054	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyomupapillomavirus	Dyomupapillomavirus 1	100	0	100	0	0	100	0	0	0	0
1081055	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Chipapillomavirus	Chipapillomavirus 3	0	0	0	0	0	100	0	0	0	0
10843	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Gequatrovirus	Gequatrovirus G4	100	200	200	100	0	0	0	0	0	0
10845	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Alphatrevirus	Alphatrevirus St1	200	100	100	100	100	100	100	200	100	100
10863	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Inovirus	Inovirus M13	0	0	0	0	0	100	0	100	100	100
10867	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Lineavirus	Lineavirus IKe	0	0	100	0	0	0	100	0	100	100
10868	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Infulavirus	Infulavirus If1	100	100	100	0	0	0	0	0	0	0
1087108	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Chipapillomavirus	Chipapillomavirus 1	0	0	0	100	0	0	0	0	0	0
10872	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Tertilicivirus	Tertilicivirus Pf3	100	100	100	100	100	100	0	0	0	100
1087479	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium maltaromaticum	0	0	400	0	400	0	0	0	0	0
1088864	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Vilmaviridae	Bongovirus	Bongovirus bongo	100	200	0	0	200	0	100	200	200	0
1089138	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	unclassified Picornaviridae genus	Quail picornavirus QPV1/HUN/2010	100	0	0	100	0	0	0	0	0	0
1089451	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium odoratissimum	500	500	500	500	500	500	500	500	500	500
108980	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter ursingii	400	400	0	200	0	200	200	0	0	200
1095727	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. SK643	0	100	100	100	0	400	100	200	0	100
1095730	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus constellatus	0	0	0	0	0	100	0	0	0	0
1095743	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus paraphrohaemolyticus	0	0	100	0	0	0	0	0	0	0
1095744	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parahaemolyticus	300	0	0	0	0	0	300	0	0	100
109790	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii	100	0	0	100	0	0	0	100	100	100
1099853	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter fastidiosus	400	400	200	500	400	600	600	600	500	500
1105327	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Vicialiavirus	Vicialiavirus VCY	0	100	0	100	0	100	0	0	0	100
1108849	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium rubens	300	400	300	300	400	400	300	300	300	400
1108865	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Ackermannviridae	Kuttervirus	Kuttervirus SH19	200	200	200	200	200	200	200	200	200	200
1108963	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus salivarius	0	0	0	0	100	0	0	0	0	0
1109710	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Zierdtviridae	Gruunavirus	Gruunavirus GRU1	100	100	200	200	100	100	100	100	200	100
1109721	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Dhillonvirus	Dhillonvirus EP23	0	0	0	0	0	0	0	0	0	100
1114922	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter farmeri	0	100	0	0	0	0	0	0	0	0
1114972	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Furfurilactobacillus	Furfurilactobacillus rossiae	0	0	0	0	100	0	0	0	0	0
1118056	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus obesiensis	0	0	0	0	0	0	200	0	0	0
1118060	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Enorma massiliensis	0	0	0	0	0	0	0	0	0	300
112090	Eukaryota	Oomycota	unclassified Oomycota class	Saprolegniales	Saprolegniaceae	Aphanomyces	Aphanomyces astaci	500	500	500	500	500	500	500	500	500	500
1120979	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia	Alloscardovia omnicolens	0	0	200	0	0	0	0	0	0	0
1120996	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter	Anaerosporobacter mobilis	100	100	0	0	0	0	0	100	0	100
1120997	Bacteria	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Anaerovibrio	Anaerovibrio lipolyticus	200	200	0	200	0	0	0	0	200	300
1121021	Bacteria	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	Adlercreutzia equolifaciens	0	0	200	0	100	0	0	0	0	0
1121098	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola massiliensis	0	300	0	0	0	0	0	0	0	0
1121128	Bacteria	Bacillota	Clostridia	Eubacteriales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus pullicaecorum	0	0	0	300	0	0	0	300	0	0
1121129	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	Butyricimonas synergistica	0	0	0	400	0	0	0	0	0	0
1121315	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter glycolicus	100	200	100	200	100	100	100	100	100	100
1121333	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Thomasclavelia	Thomasclavelia saccharogumia	0	0	200	0	200	0	0	0	0	0
1121334	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalispora	Faecalispora sporosphaeroides	0	100	0	0	0	100	0	100	100	0
1121866	Bacteria	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Adlercreutzia	Adlercreutzia mucosicola	100	100	0	100	0	100	100	0	100	0
1122147	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Schleiferilactobacillus	Schleiferilactobacillus harbinensis	100	0	0	0	0	0	0	0	0	0
1122219	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera cerevisiae	100	100	100	100	100	200	100	100	200	200
1122949	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus lacrimalis	0	200	0	0	0	0	200	0	0	200
1122975	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas somerae	0	0	300	300	0	0	0	0	0	0
1122976	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas uenonis	0	500	0	0	0	0	0	500	0	0
1122981	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella corporis	0	0	200	0	200	0	0	200	0	0
1122989	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Segatella	Segatella oris	0	0	0	0	0	0	0	0	0	100
1122992	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	Hoylesella timonensis	100	0	0	0	0	200	0	0	0	0
1123250	Bacteria	Bacillota	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas bovis	0	0	0	0	0	300	300	300	0	0
1123313	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalicoccus	Faecalicoccus pleomorphus	0	100	0	0	0	0	0	0	0	0
1123721	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella koreensis	0	0	0	0	100	0	100	0	100	100
1126949	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Herelleviridae	Bequatrovirus	Bequatrovirus B4	0	100	100	0	0	0	0	100	0	100
1128071	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Guelinviridae	Gregsiragusavirus	Gregsiragusavirus phi24R	300	300	200	200	300	200	300	300	200	300
1128423	Viruses	unclassified-Viruses-phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Thetatorquevirus	Thetatorquevirus muste1	0	100	0	0	100	0	0	100	0	0
1129191	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Drexlerviridae	Webervirus	Webervirus KP36	0	100	0	0	0	100	0	100	100	100
1130819	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus mangiferihumi	100	100	100	100	100	100	100	200	100	100
1133022	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Casjensviridae	Ahduovirus	Burkholderia virus AH2	100	0	0	100	100	0	100	0	0	100
1133319	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides reticulotermitis	300	400	400	300	300	400	300	300	300	300
1134687	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis	0	0	100	100	0	100	100	100	100	0
1136231	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida orthopsilosis	100	100	100	200	200	100	100	200	100	100
1136731	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Herelleviridae	Wphvirus	Wphvirus BPS13	0	0	0	0	100	0	0	0	0	0
1138484	Viruses	unclassified-Viruses-phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Etatorquevirus	Etatorquevirus felid4	0	0	0	0	100	0	0	0	0	0
114090	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus inopinatus	100	100	0	100	100	100	100	100	100	100
1141133	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Herelleviridae	Bequatrovirus	Bequatrovirus B4	0	0	0	0	100	100	0	0	0	0
1141526	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Septimatrevirus	Septimatrevirus kakheti25	0	100	0	0	0	0	0	0	0	0
1144300	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus gastricus	0	0	0	100	0	0	0	0	0	100
1144379	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Rhopapillomavirus	Rhopapillomavirus 1	0	0	100	0	0	0	100	0	0	0
114527	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Mogibacterium	Mogibacterium diversum	400	300	300	300	600	300	300	300	400	300
1147143	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Yautsimvirus	Yautsimvirus HK140	0	0	0	100	0	0	0	0	0	0
1147145	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Kwaitsingvirus	Kwaitsingvirus HK446	100	0	0	0	0	0	0	0	0	0
1147146	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Lambdavirus	Lambdavirus HK630	0	100	0	100	0	0	0	0	0	0
1147149	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Aguilavirus	Aguilavirus mEp043	100	0	0	0	0	0	0	0	0	0
1147153	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Cuauhtlivirus	Cuauhtlivirus mEpX1	0	0	0	0	0	0	100	0	0	0
1147157	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Wanchaivirus	Wanchaivirus mEp234	0	0	0	0	0	0	0	0	0	100
114777	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Vertoviridae	Myohalovirus	Myohalovirus phiCh1	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000
1150298	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	0	0	100	0	0	100	0	0	100	0
1150423	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium dentium	0	0	0	0	200	0	0	0	0	0
1150861	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Dicipivirus	Cadicivirus A	0	100	0	100	0	100	0	100	0	0
1150989	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Demerecviridae	Vipunavirus	Vipunavirus pVp1	100	100	100	100	100	200	200	200	100	100
