taxid	D	P	C	O	F	G	S	5reads-tr_0	5reads-tr_1	5reads-tr_2	5reads-tr_3	5reads-tr_4	5reads-tr_5	5reads-tr_6	5reads-tr_7	5reads-tr_8	5reads-tr_9	10reads-tr_0	10reads-tr_1	10reads-tr_2	10reads-tr_3	10reads-tr_4	10reads-tr_5	10reads-tr_6	10reads-tr_7	10reads-tr_8	10reads-tr_9	100reads-tr_0	100reads-tr_1	100reads-tr_2	100reads-tr_3	100reads-tr_4	100reads-tr_5	100reads-tr_6	100reads-tr_7	100reads-tr_8	100reads-tr_9
102684	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantarius	5	5	0	0	0	0	5	0	5	5	10	10	0	0	0	0	10	0	10	10	100	100	0	0	0	0	100	0	100	100
1027253	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Siphunculivirus	Siphunculivirus SHP2	20	10	10	20	35	20	10	20	5	10	40	20	20	40	70	40	20	40	10	20	400	200	200	400	700	400	200	400	100	200
10298	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus humanalpha1	5	5	5	0	0	5	15	5	5	5	10	10	10	0	0	10	30	10	10	10	100	100	100	0	0	100	300	100	100	100
1029988	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Erskinevirus	Erskinevirus EaH2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100
1030843	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis	15	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0
10310	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Simplexvirus	Simplexvirus humanalpha2	0	5	0	5	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0
1032067	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter mucosalis	105	90	90	70	80	65	50	50	75	100	210	180	180	140	160	130	100	100	150	200	2100	1800	1800	1400	1600	1300	1000	1000	1500	2000
1032069	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter ureolyticus	0	0	0	0	40	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	800	0	0	0	0	0
1032071	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter cryaerophilus	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	2000
10334	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Varicellovirus	Varicellovirus felidalpha1	15	10	10	10	15	5	15	30	20	5	30	20	20	20	30	10	30	60	40	10	300	200	200	200	300	100	300	600	400	100
103371	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Pootjesviridae	Innesvirus	Innesvirus RL2RES	5	0	5	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0
1033732	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes senegalensis	0	0	0	5	0	10	0	0	0	0	0	0	0	10	0	20	0	0	0	0	0	0	0	100	0	200	0	0	0	0
1033733	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus senegalensis	5	0	0	5	0	5	0	0	0	0	10	0	0	10	0	10	0	0	0	0	100	0	0	100	0	100	0	0	0	0
1034130	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Coopervirus	Coopervirus chrisnmich	0	0	5	5	0	0	0	0	0	5	0	0	10	10	0	0	0	0	0	10	0	0	100	100	0	0	0	0	0	100
1034139	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Marvinvirus	Marvinvirus marvin	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0
1034151	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Coopervirus	Coopervirus zemanar	0	0	5	0	0	0	5	0	0	0	0	0	10	0	0	0	10	0	0	0	0	0	100	0	0	0	100	0	0	0
1034345	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Senegalimassilia	Senegalimassilia anaerobia	0	0	0	0	0	15	5	0	0	0	0	0	0	0	0	30	10	0	0	0	0	0	0	0	0	300	100	0	0	0
1034346	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Dielma	Dielma fastidiosa	5	10	0	0	0	0	0	0	0	0	10	20	0	0	0	0	0	0	0	0	100	200	0	0	0	0	0	0	0	0
10345	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Varicellovirus	Varicellovirus suidalpha1	5	15	0	10	0	0	0	0	0	15	10	30	0	20	0	0	0	0	0	30	100	300	0	200	0	0	0	0	0	300
1034792	Viruses	unclassified-Viruses-phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Wawtorquevirus	Wawtorquevirus culic2	10	15	15	15	10	10	10	0	15	10	20	30	30	30	20	20	20	0	30	20	200	300	300	300	200	200	200	0	300	200
1035662	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	unclassified Caudoviricetes genus	Bdellovibrio phage phi1402	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100
10359	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus humanbeta5	5	0	5	10	0	5	0	0	5	0	10	0	10	20	0	10	0	0	10	0	100	0	100	200	0	100	0	0	100	0
103621	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces urogenitalis	10	10	5	10	0	10	10	10	10	15	20	20	10	20	0	20	20	20	20	30	200	200	100	200	0	200	200	200	200	300
10366	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Muromegalovirus	Muromegalovirus muridbeta1	30	40	40	15	10	25	15	30	35	25	60	80	80	30	20	50	30	60	70	50	600	800	800	300	200	500	300	600	700	500
1036611	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus versicolor	0	0	5	10	5	10	5	0	0	15	0	0	10	20	10	20	10	0	0	30	0	0	100	200	100	200	100	0	0	300
1036612	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sydowii	20	20	5	5	0	0	10	10	5	15	40	40	10	10	0	0	20	20	10	30	400	400	100	100	0	0	200	200	100	300
1036963	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Pipapillomavirus	Pipapillomavirus 2	0	0	15	0	0	10	10	0	0	0	0	0	30	0	0	20	20	0	0	0	0	0	300	0	0	200	200	0	0	0
10372	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta7	15	15	15	0	0	5	10	0	25	10	30	30	30	0	0	10	20	0	50	20	300	300	300	0	0	100	200	0	500	200
10376	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Lymphocryptovirus	Lymphocryptovirus humangamma4	0	0	0	0	5	0	5	5	0	0	0	0	0	0	10	0	10	10	0	0	0	0	0	0	100	0	100	100	0	0
10380	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Rhadinovirus	Rhadinovirus atelinegamma2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0
10381	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Rhadinovirus	Rhadinovirus saimiriinegamma2	15	15	10	10	15	0	10	5	10	5	30	30	20	20	30	0	20	10	20	10	300	300	200	200	300	0	200	100	200	100
10386	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Iltovirus	Iltovirus gallidalpha1	20	0	0	15	5	15	10	10	20	10	40	0	0	30	10	30	20	20	40	20	400	0	0	300	100	300	200	200	400	200
103892	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella ratti	0	0	5	5	0	5	0	0	0	0	0	0	10	10	0	10	0	0	0	0	0	0	100	100	0	100	0	0	0	0
10397	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Quwivirus	Quwivirus tupaiidbeta1	20	15	20	20	35	20	10	35	25	15	40	30	40	40	70	40	20	70	50	30	400	300	400	400	700	400	200	700	500	300
10401	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Ictavirus	Ictavirus ictaluridallo1	20	20	20	20	5	15	10	20	15	10	40	40	40	40	10	30	20	40	30	20	400	400	400	400	100	300	200	400	300	200
1042876	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	0	0	0	30	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0
1043002	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans	25	25	15	5	0	10	10	5	5	0	50	50	30	10	0	20	20	10	10	0	500	500	300	100	0	200	200	100	100	0
1043003	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium melanogenum	5	5	5	10	10	10	10	5	15	5	10	10	10	20	20	20	20	10	30	10	100	100	100	200	200	200	200	100	300	100
1043005	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium subglaciale	0	0	15	10	15	0	5	10	10	5	0	0	30	20	30	0	10	20	20	10	0	0	300	200	300	0	100	200	200	100
104388	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Mardivirus	Mardivirus anatidalpha1	25	20	0	0	10	15	10	5	10	15	50	40	0	0	20	30	20	10	20	30	500	400	0	0	200	300	200	100	200	300
10515	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	0	235	0	390	0	0	0	0	0	0	0	470	0	780	0	0	0	0	0	0	0	4700	0	7800	0	0	0	0	0	0
105154	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Chlamydiamicrovirus	Chlamydiamicrovirus Chp2	15	20	15	10	15	5	15	20	15	10	30	40	30	20	30	10	30	40	30	20	300	400	300	200	300	100	300	400	300	200
1051674	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Kolesnikvirus	Kolesnikvirus M7	0	0	0	0	5	0	0	5	5	0	0	0	0	0	10	0	0	10	10	0	0	0	0	0	100	0	0	100	100	0
1051675	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Schitoviridae	Waedenswilvirus	Waedenswilvirus S6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0
1051676	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Chaseviridae	Loessnervirus	Loessnervirus Y2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100
1052121	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Straboviridae	Dhakavirus	Dhakavirus bp7	0	0	0	5	0	5	0	5	0	0	0	0	0	10	0	10	0	10	0	0	0	0	0	100	0	100	0	100	0	0
1055684	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 11	0	5	0	0	10	15	0	0	5	0	0	10	0	0	20	30	0	0	10	0	0	100	0	0	200	300	0	0	100	0
10561	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Xipapillomavirus	Xipapillomavirus 1	0	0	10	15	5	5	0	10	0	5	0	0	20	30	10	10	0	20	0	10	0	0	200	300	100	100	0	200	0	100
10564	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Deltapapillomavirus	Deltapapillomavirus 2	5	5	0	10	15	20	20	5	0	0	10	10	0	20	30	40	40	10	0	0	100	100	0	200	300	400	400	100	0	0
10566	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	unclassified Papillomaviridae genus	Human papillomavirus	20	5	0	5	0	10	10	0	5	10	40	10	0	10	0	20	20	0	10	20	400	100	0	100	0	200	200	0	100	200
10567	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Iotapapillomavirus	Iotapapillomavirus 1	5	0	0	5	5	0	0	0	5	0	10	0	0	10	10	0	0	0	10	0	100	0	0	100	100	0	0	0	100	0
10568	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Pipapillomavirus	Pipapillomavirus 2	0	5	0	5	10	0	0	5	10	0	0	10	0	10	20	0	0	10	20	0	0	100	0	100	200	0	0	100	200	0
1056807	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Morococcus	Morococcus cerebrosus	5	0	0	10	10	0	0	15	0	10	10	0	0	20	20	0	0	30	0	20	100	0	0	200	200	0	0	300	0	200
10570	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 12	5	0	5	10	0	0	0	0	0	5	10	0	10	20	0	0	0	0	0	10	100	0	100	200	0	0	0	0	0	100
105841	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	5	5	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0
10589	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Nupapillomavirus	Nupapillomavirus 1	5	15	5	10	5	10	25	20	5	5	10	30	10	20	10	20	50	40	10	10	100	300	100	200	100	200	500	400	100	100
105984	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum porosum	40	25	0	45	35	30	20	25	30	10	80	50	0	90	70	60	40	50	60	20	800	500	0	900	700	600	400	500	600	200
10600	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 10	20	10	10	5	5	5	5	10	15	10	40	20	20	10	10	10	10	20	30	20	400	200	200	100	100	100	100	200	300	200
10611	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 6	0	0	0	0	0	0	10	0	10	10	0	0	0	0	0	0	20	0	20	20	0	0	0	0	0	0	200	0	200	200
10616	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Betapapillomavirus	Betapapillomavirus 3	0	5	0	0	0	5	0	10	5	10	0	10	0	0	0	10	0	20	10	20	0	100	0	0	0	100	0	200	100	200
10617	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 1	10	5	5	5	0	0	0	5	10	0	20	10	10	10	0	0	0	10	20	0	200	100	100	100	0	0	0	100	200	0
10620	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 8	5	5	5	5	5	5	5	15	10	5	10	10	10	10	10	10	10	30	20	10	100	100	100	100	100	100	100	300	200	100
10621	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Betapapillomavirus	Betapapillomavirus 2	20	10	5	0	0	15	5	5	5	5	40	20	10	0	0	30	10	10	10	10	400	200	100	0	0	300	100	100	100	100
10623	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Kappapapillomavirus	Kappapapillomavirus 2	0	5	5	0	10	10	5	10	5	5	0	10	10	0	20	20	10	20	10	10	0	100	100	0	200	200	100	200	100	100
106588	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor capillosus	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
106649	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter guillouiae	0	0	0	0	5	0	5	20	0	5	0	0	0	0	10	0	10	40	0	10	0	0	0	0	100	0	100	400	0	100
10679	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Peduoviridae	Peduovirus	Peduovirus P2	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
10689	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	unclassified Caudoviricetes genus	Vibrio phage CP-T1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
1069201	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus luchuensis	15	15	0	5	5	5	0	5	0	25	30	30	0	10	10	10	0	10	0	50	300	300	0	100	100	100	0	100	0	500
1069378	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Schmidvirus	Helicobacter phage phiHP33	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0
10702	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Veewebvirus	Veewebvirus vwb	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
1070324	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Xipapillomavirus	Xipapillomavirus 2	5	5	15	0	10	0	10	0	5	10	10	10	30	0	20	0	20	0	10	20	100	100	300	0	200	0	200	0	100	200
10704	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	unclassified Caudoviricetes genus	Rhizobium phage 16-3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
1070408	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 15	0	0	10	0	0	5	0	10	0	0	0	0	20	0	0	10	0	20	0	0	0	0	200	0	0	100	0	200	0	0
1070409	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 11	0	0	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	20	0	10	0	0	0	0	0	0	0	200	0	100
1070410	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 16	10	20	15	0	10	10	10	15	10	0	20	40	30	0	20	20	20	30	20	0	200	400	300	0	200	200	200	300	200	0
1070413	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 11	15	0	0	0	0	0	15	0	0	0	30	0	0	0	0	0	30	0	0	0	300	0	0	0	0	0	300	0	0	0
1070417	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 17	10	10	5	15	10	5	10	10	5	0	20	20	10	30	20	10	20	20	10	0	200	200	100	300	200	100	200	200	100	0
1071378	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma dairenensis	5	5	5	0	5	0	0	5	0	0	10	10	10	0	10	0	0	10	0	0	100	100	100	0	100	0	0	100	0	0
1071381	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora	Tetrapisispora phaffii	5	5	5	10	0	0	0	0	10	10	10	10	10	20	0	0	0	0	20	20	100	100	100	200	0	0	0	0	200	200
10717	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Spizizenvirus	Spizizenvirus sv105	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0
10724	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	unclassified Caudoviricetes genus	Bacillus phage SPP1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	100	0
1073089	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus wentii	10	10	5	10	5	10	5	5	5	5	20	20	10	20	10	20	10	10	10	10	200	200	100	200	100	200	100	100	100	100
1073090	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicilliopsis	Penicilliopsis zonata	5	5	10	5	0	5	5	10	10	5	10	10	20	10	0	10	10	20	20	10	100	100	200	100	0	100	100	200	200	100
1074000	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter universalis	15	5	10	15	5	15	10	10	30	0	30	10	20	30	10	30	20	20	60	0	300	100	200	300	100	300	200	200	600	0
1074044	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	unclassified Inoviridae genus	uncultured phage WW-nAnB	5	15	10	10	15	15	15	20	25	15	10	30	20	20	30	30	30	40	50	30	100	300	200	200	300	300	300	400	500	300
1074206	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Iotapapillomavirus	Iotapapillomavirus 2	5	5	10	5	5	5	5	5	5	5	10	10	20	10	10	10	10	10	10	10	100	100	200	100	100	100	100	100	100	100
1074213	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Mouse kobuvirus M-5/USA/2010	5	5	10	15	10	5	0	5	15	15	10	10	20	30	20	10	0	10	30	30	100	100	200	300	200	100	0	100	300	300
1074309	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Bignuzvirus	Bignuzvirus bignuz	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	100	0	100	0	0
