taxid	D	P	C	O	F	G	S	50pctHuman_0	50pctHuman_1	50pctHuman_2	50pctHuman_3	50pctHuman_4	50pctHuman_5	50pctHuman_6	50pctHuman_7	50pctHuman_8	50pctHuman_9	90pctHuman_0	90pctHuman_1	90pctHuman_2	90pctHuman_3	90pctHuman_4	90pctHuman_5	90pctHuman_6	90pctHuman_7	90pctHuman_8	90pctHuman_9	10pctHuman_0	10pctHuman_1	10pctHuman_2	10pctHuman_3	10pctHuman_4	10pctHuman_5	10pctHuman_6	10pctHuman_7	10pctHuman_8	10pctHuman_9
1032067	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter mucosalis	200	500	300	300	400	500	400	300	400	400	200	500	300	300	400	500	400	300	400	400	200	500	300	300	400	500	400	300	400	400
1032069	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter ureolyticus	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0
1032071	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter cryaerophilus	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	400
10334	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Varicellovirus	Varicellovirus felidalpha1	0	0	100	100	0	0	100	100	0	100	0	0	100	100	0	0	100	100	0	100	0	0	100	100	0	0	100	100	0	100
1033977	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Ficleduovirus	Ficleduovirus FCV1	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
1034345	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Senegalimassilia	Senegalimassilia anaerobia	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0
1034346	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Dielma	Dielma fastidiosa	0	100	0	0	0	0	100	0	0	0	0	100	0	0	0	0	100	0	0	0	0	100	0	0	0	0	100	0	0	0
10345	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Varicellovirus	Varicellovirus suidalpha1	100	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0	100	0
1034792	Viruses	unclassified-Viruses-phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Wawtorquevirus	Wawtorquevirus culic2	0	0	0	100	0	0	0	100	0	0	0	0	0	100	0	0	0	100	0	0	0	0	0	100	0	0	0	100	0	0
10359	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Cytomegalovirus	Cytomegalovirus humanbeta5	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	0	0
103621	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces urogenitalis	100	100	0	100	0	0	100	0	0	100	100	100	0	100	0	0	100	0	0	100	100	100	0	100	0	0	100	0	0	100
10366	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Muromegalovirus	Muromegalovirus muridbeta1	100	200	0	0	200	300	0	0	100	100	100	200	0	0	200	300	0	0	100	100	100	200	0	0	200	300	0	0	100	100
1036611	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus versicolor	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	200	0	0	0	0
1036612	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus sydowii	100	100	0	0	0	100	200	100	100	0	100	100	0	0	0	100	200	100	100	0	100	100	0	0	0	100	200	100	100	0
1036963	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Pipapillomavirus	Pipapillomavirus 2	0	0	100	0	0	100	100	0	0	0	0	0	100	0	0	100	100	0	0	0	0	0	100	0	0	100	100	0	0	0
10372	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Roseolovirus	Roseolovirus humanbeta7	0	100	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0	100
10376	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Lymphocryptovirus	Lymphocryptovirus humangamma4	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
10381	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Rhadinovirus	Rhadinovirus saimiriinegamma2	0	100	0	100	0	100	100	200	0	0	0	100	0	100	0	100	100	200	0	0	0	100	0	100	0	100	100	200	0	0
10386	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Iltovirus	Iltovirus gallidalpha1	0	0	100	0	100	0	0	100	0	0	0	0	100	0	100	0	0	100	0	0	0	0	100	0	100	0	0	100	0	0
103892	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella ratti	0	100	0	0	0	0	0	0	100	0	0	100	0	0	0	0	0	0	100	0	0	100	0	0	0	0	0	0	100	0
10397	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Quwivirus	Quwivirus tupaiidbeta1	200	100	100	200	0	100	100	0	100	100	200	100	100	200	0	100	100	0	100	100	200	100	100	200	0	100	100	0	100	100
10401	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Ictavirus	Ictavirus ictaluridallo1	100	0	0	0	0	0	0	200	0	100	100	0	0	0	0	0	0	200	0	100	100	0	0	0	0	0	0	200	0	100
1042876	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	0	0	0	200	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0
1043002	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0
1043003	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium melanogenum	0	0	0	100	0	100	0	0	200	0	0	0	0	100	0	100	0	0	200	0	0	0	0	100	0	100	0	0	200	0
1043005	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium subglaciale	0	0	0	0	0	0	100	0	0	100	0	0	0	0	0	0	100	0	0	100	0	0	0	0	0	0	100	0	0	100
104388	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Orthoherpesviridae	Mardivirus	Mardivirus anatidalpha1	100	0	100	0	200	0	100	100	0	0	100	0	100	0	200	0	100	100	0	0	100	0	100	0	200	0	100	100	0	0
10515	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	0	1200	0	2000	0	0	0	0	0	0	0	1200	0	2000	0	0	0	0	0	0	0	1200	0	2000	0	0	0	0	0	0
105154	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Chlamydiamicrovirus	Chlamydiamicrovirus Chp2	0	100	100	100	100	0	0	0	0	0	0	100	100	100	100	0	0	0	0	0	0	100	100	100	100	0	0	0	0	0
1054461	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Schitoviridae	Gamaleyavirus	Gamaleyavirus G7C	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
1055684	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 11	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	200	0	0	0	0
10561	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Xipapillomavirus	Xipapillomavirus 1	0	0	100	0	0	0	100	0	0	0	0	0	100	0	0	0	100	0	0	0	0	0	100	0	0	0	100	0	0	0
10564	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Deltapapillomavirus	Deltapapillomavirus 2	100	0	0	100	0	0	0	0	0	0	100	0	0	100	0	0	0	0	0	0	100	0	0	100	0	0	0	0	0	0
10566	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	unclassified Papillomaviridae genus	Human papillomavirus	0	100	0	0	200	100	0	0	0	0	0	100	0	0	200	100	0	0	0	0	0	100	0	0	200	100	0	0	0	0
10567	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Iotapapillomavirus	Iotapapillomavirus 1	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	200	0
10568	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Pipapillomavirus	Pipapillomavirus 2	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
1056830	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Charlievirus	Charlievirus Charlie	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100
10570	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 12	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0
10589	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Nupapillomavirus	Nupapillomavirus 1	0	0	0	100	100	100	100	0	0	100	0	0	0	100	100	100	100	0	0	100	0	0	0	100	100	100	100	0	0	100
105984	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	Apiotrichum porosum	300	300	300	0	100	100	200	100	0	100	300	300	300	0	100	100	200	100	0	100	300	300	300	0	100	100	200	100	0	100
10600	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 10	100	100	0	0	100	0	0	200	0	0	100	100	0	0	100	0	0	200	0	0	100	100	0	0	100	0	0	200	0	0
10616	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Betapapillomavirus	Betapapillomavirus 3	100	100	0	0	0	0	100	0	0	100	100	100	0	0	0	0	100	0	0	100	100	100	0	0	0	0	100	0	0	100
10617	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 1	0	0	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0
10620	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 8	0	0	0	100	100	0	100	0	0	0	0	0	0	100	100	0	100	0	0	0	0	0	0	100	100	0	100	0	0	0
10621	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Betapapillomavirus	Betapapillomavirus 2	100	100	0	0	100	0	0	0	0	0	100	100	0	0	100	0	0	0	0	0	100	100	0	0	100	0	0	0	0	0
10623	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Kappapapillomavirus	Kappapapillomavirus 2	0	0	0	0	100	0	0	0	200	0	0	0	0	0	100	0	0	0	200	0	0	0	0	0	100	0	0	0	200	0
106649	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter guillouiae	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0
1069201	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus luchuensis	100	100	0	0	0	0	100	0	0	0	100	100	0	0	0	0	100	0	0	0	100	100	0	0	0	0	100	0	0	0
1069378	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Schmidvirus	Helicobacter phage phiHP33	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
1070324	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Xipapillomavirus	Xipapillomavirus 2	0	0	0	0	100	0	0	100	100	0	0	0	0	0	100	0	0	100	100	0	0	0	0	0	100	0	0	100	100	0
1070408	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 15	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0
1070409	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 11	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0
1070410	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 16	0	0	0	0	100	0	0	100	0	0	0	0	0	0	100	0	0	100	0	0	0	0	0	0	100	0	0	100	0	0
1070417	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 17	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	100	100
1071378	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma dairenensis	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0
1073089	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus wentii	100	100	100	0	0	0	100	0	0	100	100	100	100	0	0	0	100	0	0	100	100	100	100	0	0	0	100	0	0	100
1073090	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicilliopsis	Penicilliopsis zonata	0	0	0	200	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0
1074000	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter universalis	0	200	0	0	0	100	100	0	0	0	0	200	0	0	0	100	100	0	0	0	0	200	0	0	0	100	100	0	0	0
1074044	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	unclassified Inoviridae genus	uncultured phage WW-nAnB	100	100	0	100	100	0	100	0	100	0	100	100	0	100	100	0	100	0	100	0	100	100	0	100	100	0	100	0	100	0
1074206	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Iotapapillomavirus	Iotapapillomavirus 2	0	100	0	100	0	0	0	100	0	0	0	100	0	100	0	0	0	100	0	0	0	100	0	100	0	0	0	100	0	0
1074213	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Mouse kobuvirus M-5/USA/2010	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
1074309	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Bignuzvirus	Bignuzvirus bignuz	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0
1074428	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Mosavirus	Mosavirus A	0	100	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0	100
10759	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	Autographiviridae	Teetrevirus	Teetrevirus T3Luria	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0
1076696	Eukaryota	Evosea	unclassified Evosea class	Mastigamoebida	Entamoebidae	Entamoeba	Entamoeba nuttalli	600	1000	300	1000	1000	400	900	200	900	800	600	1000	300	1000	1000	400	900	200	900	800	600	1000	300	1000	1000	400	900	200	900	800
1077256	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera cuniculi	100	400	1200	200	600	600	300	400	600	500	100	400	1200	200	600	600	300	400	600	500	100	400	1200	200	600	600	300	400	600	500
1078480	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus sputorum	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100
1079257	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria robusta	100	200	0	200	0	100	100	0	0	200	100	200	0	200	0	100	100	0	0	200	100	200	0	200	0	100	100	0	0	200
1080349	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces eubayanus	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0
1080712	Archaea	Candidatus-Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	Methanomassiliicoccus luminyensis	1800	1800	0	1900	1700	0	0	1400	1300	0	1800	1800	0	1900	1700	0	0	1400	1300	0	1800	1800	0	1900	1700	0	0	1400	1300	0
1081054	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Dyomupapillomavirus	Dyomupapillomavirus 1	0	0	0	0	0	0	100	200	0	0	0	0	0	0	0	0	100	200	0	0	0	0	0	0	0	0	100	200	0	0
1081055	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Chipapillomavirus	Chipapillomavirus 3	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0
1081104	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps fumosorosea	0	0	0	0	100	0	100	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0	100	0	100	0	0	0
10843	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Gequatrovirus	Gequatrovirus G4	200	100	100	200	0	0	0	0	0	0	200	100	100	200	0	0	0	0	0	0	200	100	100	200	0	0	0	0	0	0
10845	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Alphatrevirus	Alphatrevirus St1	200	100	100	0	200	100	100	200	300	100	200	100	100	0	200	100	100	200	300	100	200	100	100	0	200	100	100	200	300	100
108486	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium falsenii	200	100	0	100	0	0	0	0	0	0	200	100	0	100	0	0	0	0	0	0	200	100	0	100	0	0	0	0	0	0
10849	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Alphatrevirus	Alphatrevirus alpha3	200	0	100	0	0	100	200	0	200	0	200	0	100	0	0	100	200	0	200	0	200	0	100	0	0	100	200	0	200	0
10863	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Inovirus	Inovirus M13	0	100	0	200	100	0	0	0	0	100	0	100	0	200	100	0	0	0	0	100	0	100	0	200	100	0	0	0	0	100
10867	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Lineavirus	Lineavirus IKe	0	0	100	100	200	0	0	100	100	300	0	0	100	100	200	0	0	100	100	300	0	0	100	100	200	0	0	100	100	300
10868	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Infulavirus	Infulavirus If1	200	200	200	0	0	100	200	0	0	0	200	200	200	0	0	100	200	0	0	0	200	200	200	0	0	100	200	0	0	0
10869	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Lineavirus	Lineavirus I22	100	200	100	200	100	100	100	200	0	100	100	200	100	200	100	100	100	200	0	100	100	200	100	200	100	100	100	200	0	100
10872	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Tertilicivirus	Tertilicivirus Pf3	100	200	0	100	100	100	200	100	100	200	100	200	0	100	100	100	200	100	100	200	100	200	0	100	100	100	200	100	100	200
1089138	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	unclassified Picornaviridae genus	Quail picornavirus QPV1/HUN/2010	0	0	0	100	0	0	100	0	0	0	0	0	0	100	0	0	100	0	0	0	0	0	0	100	0	0	100	0	0	0
1089451	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium odoratissimum	100	100	200	100	100	0	200	0	100	0	100	100	200	100	100	0	200	0	100	0	100	100	200	100	100	0	200	0	100	0
108980	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter ursingii	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	100	100	0	0
1090133	Viruses	Uroviricota	Caudoviricetes	unclassified Caudoviricetes order	unclassified Caudoviricetes family	Lederbergvirus	Enterobacteria phage IME10	0	0	100	0	0	0	0	0	100	0	0	0	100	0	0	0	0	0	100	0	0	0	100	0	0	0	0	0	100	0
1090316	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas melonis	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0
1095727	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. SK643	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0
1095744	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parahaemolyticus	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100
1099853	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter fastidiosus	0	0	0	0	0	0	0	0	200	300	0	0	0	0	0	0	0	0	200	300	0	0	0	0	0	0	0	0	200	300
110365	Eukaryota	Apicomplexa	Conoidasida	Eugregarinorida	Gregarinidae	Gregarina	Gregarina niphandrodes	200	200	0	100	200	100	100	200	200	0	200	200	0	100	200	100	100	200	200	0	200	200	0	100	200	100	100	200	200	0
1104917	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Lambdapapillomavirus	Lambdapapillomavirus 5	100	0	0	0	0	200	0	0	100	0	100	0	0	0	0	200	0	0	100	0	100	0	0	0	0	200	0	0	100	0
1105327	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	Vicialiavirus	Vicialiavirus VCY	200	100	100	400	0	0	200	200	100	100	200	100	100	400	0	0	200	200	100	100	200	100	100	400	0	0	200	200	100	100
1108849	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium rubens	0	0	100	0	0	0	0	100	0	0	0	0	100	0	0	0	0	100	0	0	0	0	100	0	0	0	0	100	0	0
